Fighter,Peak Elo,Year Achieved,UFC Record,Avg. Opp. Elo
Brendan O'Reilly,100.699,2015,1-3-0,96.194
Jose Johnson,100.698,2023,1-2-0,105.269
Mike Rodriguez,100.682,2018,2-5-0,104.433
Phil Harris,100.670,2013,1-3-0,99.628
Aaron Rosa,100.642,2011,1-2-0,104.406
Dale Hartt,100.638,2008,1-2-0,94.611
Eddie Yagin,100.632,2012,1-1-0,98.530
Karlos Vemola,100.609,2010,2-4-0,98.060
Akbarh Arreola,100.601,2014,1-3-0,110.265
Oluwale Bamgbose,100.477,2016,1-4-0,100.942
John Salter,100.394,2010,1-2-0,97.168
Chris Barnett,100.358,2023,2-3-0,98.102
Riki Fukuda,100.206,2012,2-3-0,102.836
Ron Stallings,100.205,2015,1-2-0,88.783
Joe Doerksen,100.160,2005,2-7-0,117.525
Callan Potter,100.159,2019,1-2-0,104.894
Xiao Long,100.152,2024,1-1-0,93.649
Lucas Alexander,100.140,2023,1-2-0,90.376
Brandon Davis,100.135,2018,2-7-0,113.616
Chris Fishgold,100.128,2019,1-3-0,108.524
Matt Dwyer,100.095,2015,1-3-0,100.711
Marcus LeVesseur,100.085,2012,1-2-0,95.045
Teemu Packalen,100.069,2016,1-3-0,103.701
Denis Tiuliulin,100.066,2023,1-5-0,109.364
Andreas Michailidis,100.062,2021,1-3-0,96.336
Jared Vanderaa,100.056,2021,1-6-0,105.389
Joby Sanchez,100.055,2015,1-4-0,90.678
Michael Kuiper,100.047,2012,1-3-0,91.754
Sai Wang,100.037,2014,1-1-0,92.401
Raphael Pessoa,100.034,2019,1-2-0,99.980
Dustin Pague,100.034,2012,1-5-0,100.198
Matt Grice,100.034,2007,2-5-0,96.102
John Gunderson,100.034,2010,1-2-0,103.471
Brad Kohler,100.034,1999,1-1-0,92.000
Jack Nilson,100.034,1997,1-1-0,92.000
Amanda Cooper,100.032,2016,2-4-0,86.911
Nathan Coy,100.024,2016,1-2-0,109.764
Shauna Bannon,100.003,2024,1-1-0,91.644
Charles McCarthy,100.001,2006,1-2-0,109.697
Kai Asakura,100.000,Never achieved,0-1-0,229.873
Ozzy Diaz,100.000,Never achieved,0-1-0,116.000
Baergeng Jieleyisi,100.000,Never achieved,0-1-0,100.000
Kiru Sahota,100.000,Never achieved,0-1-0,100.000
Feng Xiaocan,100.000,Never achieved,0-1-0,100.000
Nyamjargal Tumendemberel,100.000,Never achieved,0-1-0,84.631
Jose Ochoa,100.000,Never achieved,0-1-0,100.000
Roberto Romero,100.000,Never achieved,0-1-0,132.875
Cortavious Romious,100.000,Never achieved,0-1-0,98.519
Zachary Scroggin,100.000,Never achieved,0-1-0,181.217
Klaudia Sygula,100.000,Never achieved,0-1-0,84.797
Rafael Cerqueira,100.000,Never achieved,0-1-0,113.983
Carlos Leal,100.000,Never achieved,0-1-0,165.996
Sean Sharaf,100.000,Never achieved,0-1-0,71.663
Lucas Rocha,100.000,Never achieved,0-1-0,115.330
Ivan Erslan,100.000,Never achieved,0-1-0,69.167
Rongzhu,100.000,Never achieved,0-1-0,116.000
Zygimantas Ramaska,100.000,Never achieved,0-1-0,100.000
Robert Valentin,100.000,Never achieved,0-1-0,100.000
Kaan Ofli,100.000,Never achieved,0-1-0,100.000
Jose Daniel Medina,100.000,Never achieved,0-1-0,100.000
Stewart Nicoll,100.000,Never achieved,0-1-0,115.931
Nikolay Veretennikov,100.000,Never achieved,0-1-0,115.939
Quang Le,100.000,Never achieved,0-2-0,128.317
Jordan Vucenic,100.000,Never achieved,0-1-0,86.746
King Green,100.000,Never achieved,0-1-0,179.260
Alice Ardelean,100.000,Never achieved,0-2-0,83.250
Fatima Kline,100.000,Never achieved,0-1-0,132.028
Antonio Trocoli,100.000,Never achieved,0-2-0,101.847
Carli Judice,100.000,Never achieved,0-1-0,68.002
Rayanne dos Santos,100.000,Never achieved,0-1-0,100.000
Mitch Raposo,100.000,Never achieved,0-1-0,116.000
Tuco Tokkos,100.000,Never achieved,0-1-0,100.000
Billy Ray Goff,100.000,Never achieved,0-1-0,116.708
Ernesta Kareckaite,100.000,Never achieved,0-1-0,100.000
Ariane da Silva,100.000,Never achieved,0-2-0,146.756
James Llontop,100.000,Never achieved,0-3-0,100.291
Valter Walker,100.000,Never achieved,1-1-0,71.638
Pedro Falcao,100.000,Never achieved,0-1-0,100.000
Dylan Budka,100.000,Never achieved,0-2-0,126.510
Connor Matthews,100.000,Never achieved,0-1-0,69.351
Angel Pacheco,100.000,Never achieved,0-1-0,85.398
Luis Pajuelo,100.000,Never achieved,0-1-0,98.684
Steven Nguyen,100.000,Never achieved,0-1-0,67.475
Igor Severino,100.000,Never achieved,0-1-0,100.000
Mitch Ramirez,100.000,Never achieved,0-1-0,125.288
Charalampos Grigoriou,100.000,Never achieved,0-2-0,75.595
Katlyn Cerminara,100.000,Never achieved,0-1-0,188.186
Bekzat Almakhan,100.000,Never achieved,0-1-0,166.169
Benardo Sopaj,100.000,Never achieved,0-1-0,100.000
AJ Cunningham,100.000,Never achieved,0-1-0,131.572
Abdul-Kareem Al-Selwady,100.000,Never achieved,0-1-0,100.000
Carlos Vera,100.000,Never achieved,0-1-0,129.744
Brendson Ribeiro,100.000,Never achieved,1-2-0,89.707
Robert Bryczek,100.000,Never achieved,0-1-0,73.019
Timmy Cuamba,100.000,Never achieved,0-2-0,93.318
Felipe Bunes,100.000,Never achieved,0-1-0,128.680
Rayanne Amanda,100.000,Never achieved,0-1-0,100.000
Zach Reese,100.000,Never achieved,1-1-0,90.674
Caio Machado,100.000,Never achieved,0-3-0,92.615
Kevin Borjas,100.000,Never achieved,0-2-0,100.317
Kaynan Kruschewsky,100.000,Never achieved,0-2-0,89.512
Kaue Fernandes,100.000,Never achieved,1-1-0,88.233
Mohammad Yahya,100.000,Never achieved,0-2-0,90.826
Ravena Oliveira,100.000,Never achieved,0-1-0,115.546
Brendon Marotte,100.000,Never achieved,0-2-0,106.554
Marnic Mann,100.000,Never achieved,0-2-0,92.366
Landon Quinones,100.000,Never achieved,0-2-0,116.261
Kiefer Crosbie,100.000,Never achieved,0-2-0,100.005
Yanis Ghemmouri,100.000,Never achieved,0-2-0,131.902
Manolo Zecchini,100.000,Never achieved,0-1-0,100.000
Montserrat Conejo Ruiz,100.000,Never achieved,0-2-0,91.452
Dennis Buzukja,100.000,Never achieved,1-3-0,99.347
Darrius Flowers,100.000,Never achieved,0-3-0,112.085
Daniel Barez,100.000,Never achieved,1-1-0,83.758
Val Woodburn,100.000,Never achieved,0-2-0,107.297
Edgar Chairez,100.000,Never achieved,1-2-0,87.537
Terrence Mitchell,100.000,Never achieved,0-2-0,114.886
Westin Wilson,100.000,Never achieved,1-2-0,106.147
Ivana Petrovic,100.000,Never achieved,1-2-0,82.175
Austen Lane,100.000,Never achieved,1-2-0,100.955
Jesse Butler,100.000,Never achieved,0-2-0,127.980
Muin Gafurov,100.000,Never achieved,1-2-0,139.795
Rolando Bedoya,100.000,Never achieved,0-3-0,108.637
Braxton Smith,100.000,Never achieved,0-1-0,94.976
Hailey Cowan,100.000,Never achieved,0-1-0,100.000
Vinicius Salvador,100.000,Never achieved,0-3-0,114.163
Gabriel Santos,100.000,Never achieved,1-2-0,110.940
Victor Martinez,100.000,Never achieved,0-2-0,99.589
Carl Deaton,100.000,Never achieved,0-2-0,108.802
Khusein Askhabov,100.000,Never achieved,0-1-0,86.098
Shannon Ross,100.000,Never achieved,0-3-0,94.887
Yusaku Kinoshita,100.000,Never achieved,0-2-0,92.403
Yizha,100.000,Never achieved,0-2-0,85.433
Toshiomi Kazama,100.000,Never achieved,1-2-0,89.084
SeungGuk Choi,100.000,Never achieved,0-1-0,100.000
Luan Lacerda,100.000,Never achieved,0-2-0,107.551
Mateus Mendonca,100.000,Never achieved,0-3-0,115.832
Claudio Ribeiro,100.000,Never achieved,1-3-0,99.057
Nick Fiore,100.000,Never achieved,0-2-0,97.394
Nick Aguirre,100.000,Never achieved,0-2-0,92.483
Erik Silva,100.000,Never achieved,0-2-0,110.256
Steven Koslow,100.000,Never achieved,0-1-0,100.000
Carlos Mota,100.000,Never achieved,0-1-0,101.473
Joshua Weems,100.000,Never achieved,0-1-0,84.887
Don Shainis,100.000,Never achieved,0-2-0,133.607
Anton Turkalj,100.000,Never achieved,0-4-0,110.560
Danyelle Wolf,100.000,Never achieved,0-1-0,118.109
Melissa Martinez,100.000,Never achieved,1-1-0,83.677
Jarno Errens,100.000,Never achieved,1-3-0,96.152
Michal Figlak,100.000,Never achieved,0-2-0,86.790
Gabriel Miranda,100.000,Never achieved,1-2-0,90.833
Lukasz Brzeski,100.000,Never achieved,1-5-0,117.287
Zac Pauga,100.000,Never achieved,1-3-0,84.486
Brogan Walker,100.000,Never achieved,0-2-0,92.000
Hamdy Abdelwahab,100.000,Never achieved,0-0-0,102.681
Askar Mozharov,100.000,Never achieved,0-1-0,116.536
Carlos Candelario,100.000,Never achieved,0-2-0,91.648
Cameron VanCamp,100.000,Never achieved,0-2-0,94.747
Kleydson Rodrigues,100.000,Never achieved,1-3-0,107.180
Fernie Garcia,100.000,Never achieved,0-4-0,92.505
Yohan Lainesse,100.000,Never achieved,1-3-0,93.048
Evan Elder,100.000,Never achieved,2-2-0,81.274
Dean Barry,100.000,Never achieved,0-1-0,84.000
Gadzhi Omargadzhiev,100.000,Never achieved,0-2-0,99.424
Josh Fremd,100.000,Never achieved,2-4-0,97.637
AJ Fletcher,100.000,Never achieved,1-3-0,114.215
Ramona Pascual,100.000,Never achieved,0-3-0,100.617
Jay Perrin,100.000,Never achieved,0-3-0,95.413
AJ Dobson,100.000,Never achieved,1-3-0,99.781
Blood Diamond,100.000,Never achieved,0-3-0,100.622
Denys Bondar,100.000,Never achieved,0-3-0,95.388
Saimon Oliveira,100.000,Never achieved,0-2-0,100.643
Genaro Valdez,100.000,Never achieved,0-3-0,84.082
Joseph Holmes,100.000,Never achieved,1-3-0,91.242
Darian Weeks,100.000,Never achieved,0-3-0,100.774
Bruno Souza,100.000,Never achieved,0-2-0,107.048
Maria Oliveira,100.000,Never achieved,1-3-0,88.472
Daniel Lacerda,100.000,Never achieved,0-5-0,92.334
Zviad Lazishvili,100.000,Never achieved,0-1-0,114.646
Erick Gonzalez,100.000,Never achieved,0-3-0,117.489
Istela Nunes,100.000,Never achieved,0-4-0,92.874
Silvana Gomez Juarez,100.000,Never achieved,1-3-0,85.392
Mike Breeden,100.000,Never achieved,1-3-0,106.177
Martin Sano,100.000,Never achieved,0-1-0,114.638
Mandy Bohm,100.000,Never achieved,1-2-0,64.889
Brandon Jenkins,100.000,Never achieved,0-2-0,115.579
Liudvik Sholinian,100.000,Never achieved,0-2-0,114.754
Micheal Gillmore,100.000,Never achieved,0-2-0,91.462
Collin Anglin,100.000,Never achieved,0-2-0,106.298
Orion Cosce,100.000,Never achieved,1-2-0,84.053
Kris Moutinho,100.000,Never achieved,0-2-0,108.071
Juancamilo Ronderos,100.000,Never achieved,0-2-0,115.657
Rong Zhu,100.000,Never achieved,1-2-0,90.676
Liang Na,100.000,Never achieved,0-4-0,88.837
Dakota Bush,100.000,Never achieved,0-2-0,93.825
Fabio Cherant,100.000,Never achieved,0-3-0,95.029
Harry Hunsucker,100.000,Never achieved,0-3-0,99.983
Jesse Strader,100.000,Never achieved,0-2-0,108.491
JP Buys,100.000,Never achieved,0-4-0,100.482
Marcelo Rojo,100.000,Never achieved,0-3-0,106.123
Gloria de Paula,100.000,Never achieved,1-3-0,80.339
Drako Rodriguez,100.000,Never achieved,0-2-0,77.426
Gaetano Pirrello,100.000,Never achieved,0-2-0,119.398
Victoria Leonardo,100.000,Never achieved,1-4-0,102.951
Sam Hughes,100.000,Never achieved,4-5-0,110.426
Josh Parisian,100.000,Never achieved,2-5-0,91.065
Jared Gooden,100.000,Never achieved,2-5-0,105.698
Dustin Stoltzfus,100.000,Never achieved,3-5-0,102.379
Louis Cosce,100.000,Never achieved,0-2-0,107.550
Jamey Simmons,100.000,Never achieved,0-2-0,122.115
Ramiz Brahimaj,100.000,Never achieved,3-3-0,91.103
Charlie Ontiveros,100.000,Never achieved,0-3-0,113.826
Victor Rodriguez,100.000,Never achieved,0-2-0,93.086
Kevin Natividad,100.000,Never achieved,0-3-0,99.840
Liliya Shakirova,100.000,Never achieved,0-1-0,122.736
Mark Striegl,100.000,Never achieved,0-2-0,138.127
Alan Baudot,100.000,Never achieved,0-4-0,103.054
KB Bhullar,100.000,Never achieved,0-2-0,106.606
Cameron Else,100.000,Never achieved,0-2-0,91.712
Jordan Williams,100.000,Never achieved,0-3-0,108.215
Sarah Alpar,100.000,Never achieved,0-2-0,97.339
TJ Laramie,100.000,Never achieved,0-2-0,116.383
Jerome Rivera,100.000,Never achieved,0-4-0,85.586
Kevin Croom,100.000,Never achieved,0-3-0,129.811
Roque Martinez,100.000,Never achieved,0-3-0,84.234
Ray Rodriguez,100.000,Never achieved,0-2-0,150.764
Austin Springer,100.000,Never achieved,0-1-0,123.571
Carlton Minus,100.000,Never achieved,0-2-0,96.060
Alexander Munoz,100.000,Never achieved,1-2-0,105.593
Peter Barrett,100.000,Never achieved,0-2-0,114.549
Ali AlQaisi,100.000,Never achieved,0-2-0,84.694
Vince Cachero,100.000,Never achieved,0-2-0,92.343
Rhys McKee,100.000,Never achieved,0-4-0,108.818
Jai Herbert,100.000,Never achieved,3-4-1,122.240
Niklas Stolze,100.000,Never achieved,0-3-0,97.158
Roman Bogatov,100.000,Never achieved,0-1-0,190.493
Zhalgas Zhumagulov,100.000,Never achieved,1-6-0,94.441
Max Rohskopf,100.000,Never achieved,0-1-0,86.313
Zarrukh Adashev,100.000,Never achieved,1-3-0,89.300
Anthony Ivy,100.000,Never achieved,0-2-0,103.166
Ike Villanueva,100.000,Never achieved,1-5-0,80.136
Aalon Cruz,100.000,Never achieved,0-2-0,100.000
Shanna Young,100.000,Never achieved,1-3-0,96.126
Jacob Kilburn,100.000,Never achieved,0-2-0,92.000
Mallory Martin,100.000,Never achieved,1-3-0,83.536
Antonio Arroyo,100.000,Never achieved,0-3-0,94.493
Isabela de Padua,100.000,Never achieved,0-1-0,69.429
Ben Sosoli,100.000,Never achieved,0-1-0,113.568
Diana Belbita,100.000,Never achieved,2-5-0,94.853
Maki Pitolo,100.000,Never achieved,1-5-0,92.394
Zarah Fairn,100.000,Never achieved,0-4-0,104.972
Vanessa Melo,100.000,Never achieved,1-3-0,97.314
Liana Jojua,100.000,Never achieved,1-3-0,78.975
Khadis Ibragimov,100.000,Never achieved,0-4-0,105.657
Kazula Vargas,100.000,Never achieved,1-3-0,99.633
Cole Williams,100.000,Never achieved,0-2-0,124.229
Hannah Goldy,100.000,Never achieved,1-4-0,96.185
Yoshinori Horie,100.000,Never achieved,0-1-0,116.129
Gabriel Silva,100.000,Never achieved,0-2-0,110.652
Domingo Pilarte,100.000,Never achieved,0-2-0,97.087
John Allan,100.000,Never achieved,0-2-0,111.453
Nohelin Hernandez,100.000,Never achieved,0-2-0,123.918
Journey Newson,100.000,Never achieved,1-4-0,102.445
Dequan Townsend,100.000,Never achieved,0-4-0,92.186
Grigory Popov,100.000,Never achieved,0-2-0,79.454
Sung Bin Jo,100.000,Never achieved,0-1-0,54.177
Rostem Akman,100.000,Never achieved,0-2-0,122.133
Duda Santana,100.000,Never achieved,0-1-0,100.000
Danilo Belluardo,100.000,Never achieved,0-2-0,92.368
Derrick Krantz,100.000,Never achieved,0-2-0,151.479
Carlos Huachin,100.000,Never achieved,0-2-0,130.526
Kyle Prepolec,100.000,Never achieved,0-2-0,106.464
Thomas Gifford,100.000,Never achieved,0-2-0,101.041
Alen Amedovski,100.000,Never achieved,0-4-0,90.343
Alex Da Silva,100.000,Never achieved,1-3-0,111.957
Zelim Imadaev,100.000,Never achieved,0-3-0,91.443
Boston Salmon,100.000,Never achieved,0-2-0,83.378
Ryan MacDonald,100.000,Never achieved,0-2-0,89.582
Jeff Hughes,100.000,Never achieved,0-3-0,108.398
Marcos Mariano,100.000,Never achieved,0-2-0,90.337
Sarah Frota,100.000,Never achieved,0-2-0,121.197
Vinicius Moreira,100.000,Never achieved,0-4-0,85.681
Kyle Stewart,100.000,Never achieved,0-2-0,85.483
Bevon Lewis,100.000,Never achieved,1-3-0,94.747
Jordan Griffin,100.000,Never achieved,1-4-0,112.103
Suman Mokhtarian,100.000,Never achieved,0-2-0,84.339
Alex Gorgees,100.000,Never achieved,0-1-0,100.000
Justin Frazier,100.000,Never achieved,0-1-0,100.000
Michel Batista,100.000,Never achieved,0-1-0,100.000
Julija Stoliarenko,100.000,Never achieved,2-6-0,108.830
Martin Day,100.000,Never achieved,0-4-0,92.878
Anderson Dos Santos,100.000,Never achieved,1-3-0,100.663
Bobby Moffett,100.000,Never achieved,0-2-0,134.116
Te Edwards,100.000,Never achieved,0-2-0,108.900
Jin Soo Son,100.000,Never achieved,0-2-0,100.683
Adam Yandiev,100.000,Never achieved,0-1-0,147.809
Stefan Sekulic,100.000,Never achieved,0-2-0,120.014
Matt Sayles,100.000,Never achieved,1-3-0,100.759
David Zawada,100.000,Never achieved,1-4-0,137.077
Elias Garcia,100.000,Never achieved,0-2-0,91.286
Joe Giannetti,100.000,Never achieved,0-1-0,100.000
Jay Cucciniello,100.000,Never achieved,0-1-0,100.000
Richie Smullen,100.000,Never achieved,0-1-0,100.000
Allan Zuniga,100.000,Never achieved,0-1-0,100.000
Tyler Diamond,100.000,Never achieved,0-1-0,100.000
Hector Aldana,100.000,Never achieved,0-3-0,104.873
Craig White,100.000,Never achieved,0-2-0,176.638
Ricky Rainey,100.000,Never achieved,0-2-0,105.966
Dan Moret,100.000,Never achieved,0-3-0,103.993
John Phillips,100.000,Never achieved,1-5-0,92.951
Marcin Prachnio,100.000,Never achieved,4-6-0,97.595
Tim Williams,100.000,Never achieved,0-2-0,116.928
Maia Stevenson,100.000,Never achieved,0-1-0,100.000
Austin Arnett,100.000,Never achieved,1-3-0,96.867
Matt Bessette,100.000,Never achieved,0-2-0,106.859
Barb Honchak,100.000,Never achieved,0-2-0,69.130
DeAnna Bennett,100.000,Never achieved,0-0-1,100.000
Christina Marks,100.000,Never achieved,0-1-0,100.000
Karine Gevorgyan,100.000,Never achieved,0-1-0,100.000
Ariel Beck,100.000,Never achieved,0-1-0,100.000
Bharat Kandare,100.000,Never achieved,0-1-0,100.000
Wulijiburen,100.000,Never achieved,0-3-0,84.134
Hu Yaozong,100.000,Never achieved,0-3-0,83.164
Jodie Esquibel,100.000,Never achieved,0-4-0,85.678
Salim Touahri,100.000,Never achieved,0-3-0,108.951
Kalindra Faria,100.000,Never achieved,0-3-0,81.576
Alex Reyes,100.000,Never achieved,0-3-0,111.315
Azunna Anyanwu,100.000,Never achieved,0-1-0,131.264
Rob Wilkinson,100.000,Never achieved,0-2-0,102.707
Talita Bernardo,100.000,Never achieved,1-3-0,95.194
Mike Santiago,100.000,Never achieved,0-3-0,90.260
Robert Sanchez,100.000,Never achieved,1-2-0,88.914
Tonya Evinger,100.000,Never achieved,0-3-0,110.914
James Mulheron,100.000,Never achieved,0-1-0,100.000
Daniel Teymur,100.000,Never achieved,1-4-0,100.167
Terrion Ware,100.000,Never achieved,0-4-0,92.178
James Bochnovic,100.000,Never achieved,0-2-0,92.408
Nick Roehrick,100.000,Never achieved,0-1-0,104.849
Tom Gallicchio,100.000,Never achieved,0-1-0,119.319
Michel Quinones,100.000,Never achieved,0-2-0,106.312
Rolando Dy,100.000,Never achieved,1-3-0,93.255
Carls John De Tomas,100.000,Never achieved,0-2-0,100.000
Ashkan Mokhtarian,100.000,Never achieved,0-2-0,96.259
Chan-Mi Jeon,100.000,Never achieved,0-2-0,91.999
Oliver Enkamp,100.000,Never achieved,0-2-0,122.282
Rashad Coulter,100.000,Never achieved,1-3-0,79.492
Cindy Dandois,100.000,Never achieved,0-1-0,127.187
Pearl Gonzalez,100.000,Never achieved,0-2-0,108.001
Daniel Spitz,100.000,Never achieved,1-3-0,80.357
Andre Soukhamthath,100.000,Never achieved,2-5-0,102.546
Bobby Nash,100.000,Never achieved,0-3-0,108.857
Eric Shelton,100.000,Never achieved,2-4-0,102.447
Devin Powell,100.000,Never achieved,1-3-0,92.724
Saparbeg Safarov,100.000,Never achieved,1-3-0,108.563
Ashley Yoder,100.000,Never achieved,3-8-0,91.002
Brian Camozzi,100.000,Never achieved,0-3-0,115.197
Kwan Ho Kwak,100.000,Never achieved,0-2-0,84.947
Charlie Ward,100.000,Never achieved,0-2-0,100.000
Marcin Held,100.000,Never achieved,1-3-0,123.855
CM Punk,100.000,Never achieved,0-1-0,100.000
Michael McBride,100.000,Never achieved,0-2-0,136.140
Jason Gonzalez,100.000,Never achieved,1-3-0,111.664
Jim Wallhead,100.000,Never achieved,0-2-0,91.635
Christian Colombo,100.000,Never achieved,0-2-1,94.913
Alex Ricci,100.000,Never achieved,0-2-0,111.325
Sabah Homasi,100.000,Never achieved,0-3-0,120.734
Chris Avila,100.000,Never achieved,0-2-0,83.208
Joseph Gigliotti,100.000,Never achieved,0-2-0,103.465
Jason Novelli,100.000,Never achieved,0-2-0,123.249
Chase Sherman,100.000,Never achieved,4-11-0,102.454
Bojan Mihajlovic,100.000,Never achieved,0-3-0,105.345
JC Cottrell,100.000,Never achieved,0-2-0,100.374
Dmitrii Smoliakov,100.000,Never achieved,0-3-0,83.534
Cory Hendricks,100.000,Never achieved,0-1-0,100.000
Alberto Uda,100.000,Never achieved,0-2-0,91.719
Luan Chagas,100.000,Never achieved,1-2-1,116.475
Anna Elmose,100.000,Never achieved,0-2-0,99.633
Cody East,100.000,Never achieved,0-2-0,69.451
Cristina Stanciu,100.000,Never achieved,0-2-0,84.669
Filip Pejic,100.000,Never achieved,0-1-0,83.288
Cyril Asker,100.000,Never achieved,2-3-0,91.631
Jarjis Danho,100.000,Never achieved,1-1-1,94.207
Thibault Gouti,100.000,Never achieved,1-5-0,107.026
Martin Svensson,100.000,Never achieved,0-1-0,100.000
Leonardo Guimaraes,100.000,Never achieved,0-2-0,91.998
Kelly Faszholz,100.000,Never achieved,0-2-0,83.663
Damian Grabowski,100.000,Never achieved,0-3-0,99.557
Felipe Olivieri,100.000,Never achieved,0-1-0,71.364
Mehdi Baghdad,100.000,Never achieved,0-2-0,130.514
Joey Gomez,100.000,Never achieved,0-2-0,107.892
Elvis Mutapcic,100.000,Never achieved,0-2-1,96.412
Jocelyn Jones-Lybarger,100.000,Never achieved,0-3-0,95.145
Marcin Wrzosek,100.000,Never achieved,0-1-0,100.000
Abner Lloveras,100.000,Never achieved,0-1-0,100.000
Enrique Marin,100.000,Never achieved,0-2-0,106.934
Horacio Gutierrez,100.000,Never achieved,0-2-0,107.028
Vernon Ramos Ho,100.000,Never achieved,0-1-0,100.000
Cesar Arzamendia,100.000,Never achieved,0-2-0,92.396
Anton Zafir,100.000,Never achieved,0-2-0,91.364
Bruno Korea,100.000,Never achieved,0-1-0,100.000
Yusuke Kasuya,100.000,Never achieved,0-2-0,108.015
Roger Zapata,100.000,Never achieved,0-1-0,84.000
Nazareno Malegarie,100.000,Never achieved,0-1-0,100.000
Daniel Jolly,100.000,Never achieved,0-2-0,84.368
Fernando Bruno,100.000,Never achieved,0-2-0,122.285
Dileno Lopes,100.000,Never achieved,0-2-0,92.778
Jessica Aguilar,100.000,Never achieved,1-4-0,97.872
Chris de la Rocha,100.000,Never achieved,1-3-0,87.646
Hayder Hassan,100.000,Never achieved,0-2-0,92.000
Dominic Waters,100.000,Never achieved,0-3-0,140.962
Joe Merritt,100.000,Never achieved,0-1-0,103.134
Lewis Gonzalez,100.000,Never achieved,0-1-0,86.155
Steve Montgomery,100.000,Never achieved,0-2-0,107.713
Steve Kennedy,100.000,Never achieved,0-2-0,78.527
Lukasz Sajewski,100.000,Never achieved,0-3-0,110.007
Ericka Almeida,100.000,Never achieved,0-2-0,99.633
Leo Kuntz,100.000,Never achieved,0-2-0,92.334
Jonavin Webb,100.000,Never achieved,0-2-0,97.736
Izabela Badurek,100.000,Never achieved,0-1-0,100.000
Rocky Lee,100.000,Never achieved,0-1-0,100.000
Bentley Syler,100.000,Never achieved,0-1-0,100.000
Alex Torres,100.000,Never achieved,0-1-0,100.000
Cody Pfister,100.000,Never achieved,1-3-0,95.657
Anthony Christodoulou,100.000,Never achieved,0-2-0,107.663
Paul Redmond,100.000,Never achieved,0-2-0,108.602
Konstantin Erokhin,100.000,Never achieved,0-2-0,98.407
Antonio Dos Santos,100.000,Never achieved,0-2-0,78.660
Lisa Ellis,100.000,Never achieved,0-2-0,92.000
Seo Hee Ham,100.000,Never achieved,1-3-0,92.191
Angela Magana,100.000,Never achieved,0-3-0,94.677
Alex Chambers,100.000,Never achieved,1-4-0,103.200
Emily Kagan,100.000,Never achieved,0-2-0,84.000
Justin Jones,100.000,Never achieved,0-2-0,100.090
Josh Copeland,100.000,Never achieved,0-2-0,123.266
Kailin Curran,100.000,Never achieved,1-6-0,97.714
Leonardo Morales,100.000,Never achieved,0-2-0,92.000
Humberto Brown Morrison,100.000,Never achieved,0-1-0,100.000
Jorge de Oliveira,100.000,Never achieved,0-2-0,84.368
Rodolfo Rubio Perez,100.000,Never achieved,0-1-0,100.000
Roman Salazar,100.000,Never achieved,0-2-0,90.005
Marcin Bandel,100.000,Never achieved,0-2-0,99.647
Rin Nakai,100.000,Never achieved,0-2-0,85.118
Wendell Oliveira Marques,100.000,Never achieved,0-2-0,92.385
Larissa Pacheco,100.000,Never achieved,0-2-0,108.016
Tateki Matsuda,100.000,Never achieved,0-2-0,100.011
Shayna Baszler,100.000,Never achieved,0-2-0,122.946
Cain Carrizosa,100.000,Never achieved,0-2-0,85.365
Chris Heatherly,100.000,Never achieved,0-2-0,108.869
Jianping Yang,100.000,Never achieved,0-1-0,100.000
Nolan Ticman,100.000,Never achieved,0-2-0,92.368
Andreas Stahl,100.000,Never achieved,0-2-0,100.621
Mike King,100.000,Never achieved,0-1-0,100.000
Tina Lahdemaki,100.000,Never achieved,0-1-0,100.000
Matt Van Buren,100.000,Never achieved,0-2-0,84.071
Guto Inocente,100.000,Never achieved,0-2-0,103.898
Juan Manuel Puig,100.000,Never achieved,0-2-0,101.998
Daniel Spohn,100.000,Never achieved,0-1-0,100.000
Alexis Dufresne,100.000,Never achieved,0-2-0,100.000
Robert Drysdale,100.000,Never achieved,0-0-0,100.000
Keith Berish,100.000,Never achieved,0-1-0,100.000
Guilherme Vasconcelos,100.000,Never achieved,0-1-0,84.773
Bubba Bush,100.000,Never achieved,0-1-0,84.000
Shane Howell,100.000,Never achieved,0-2-0,91.619
Dashon Johnson,100.000,Never achieved,0-2-0,93.052
Roldan Sangcha'an,100.000,Never achieved,0-2-0,77.021
Rodrigo de Lima,100.000,Never achieved,0-2-0,92.636
Elizabeth Phillips,100.000,Never achieved,1-3-0,103.993
Josh Shockley,100.000,Never achieved,0-2-0,98.946
Jake Lindsey,100.000,Never achieved,0-3-0,94.668
Marcio Alexandre Junior,100.000,Never achieved,0-3-0,108.491
Wagner Silva,100.000,Never achieved,0-2-0,108.368
Richardson Moreira,100.000,Never achieved,0-2-0,105.481
Matt Hobar,100.000,Never achieved,1-2-0,95.054
Pawel Pawlak,100.000,Never achieved,1-2-0,79.913
Aaron Phillips,100.000,Never achieved,0-4-0,95.872
David Michaud,100.000,Never achieved,1-2-0,89.333
Ruan Potts,100.000,Never achieved,0-3-0,105.666
Hernani Perpetuo,100.000,Never achieved,0-2-0,93.323
Jack May,100.000,Never achieved,0-2-0,102.332
Sheldon Westcott,100.000,Never achieved,1-2-0,78.897
Vik Grujic,100.000,Never achieved,1-3-0,91.837
Chris Indich,100.000,Never achieved,0-2-0,92.000
Tim Gorman,100.000,Never achieved,0-2-0,108.689
Alan Omer,100.000,Never achieved,0-2-0,100.000
